1,Panvel,4761547441228189942,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
2,Mantralayam,6123261334828772222,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
3,Kala Amb,3680307921805384444,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
4,Panhala,3931060669256666666,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
5,Kukke,7946955059812888888,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
6,Agartala,3048526927545682854,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
7,Anegundi,1680679585600597275,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
8,Aronda,6177864381790426842,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
9,Auli,5542574512537225631,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
10,Bhandardara,4564607930496735949,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
11,Balasinor,3738480529692135229,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
12,Barbil,7325167872643381125,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
13,Bekal,1390677863418837576,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
14,Bhavangadh,2405360747539404583,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
15,Bhiwadi,7188225528769381636,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
16,Bomdila,2948511146707552096,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
17,Calangute,5623949741138851217,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
18,Canacona,8193459841405881208,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
19,Cherrapunjee,7910712990922560992,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
20,Corbett,6612277265847855481,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
21,Dahej,2291558351485331014,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
22,Dalhousie,3084536095241319598,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
23,Dooars,7731032782410174321,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
24,Durshet,4610879974207284983,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
25,Falakata,1189742485232987917,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
26,Gangotri,5001619947363078572,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
27,Gangtok,1196252839838244621,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
28,Garhmukteshwar,2447250318768594592,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
29,Gopalpur,8444073139313737899,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
30,Hansi,5588483001098623982,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
31,Kashid,6228214837700868579,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
32,Jamshedpur,8399297392482907494,1,"2002-03-11 00:00:00
","2002-03-11 00:00:00
"
